Doc id in TIME.REL, Corresponding TEXT in TIME.ALL
1, TEXT 017
2, TEXT 018
3, TEXT 019
4, TEXT 020
5, TEXT 021
6, TEXT 023
7, TEXT 024
8, TEXT 025
9, TEXT 026
10, TEXT 027
11, TEXT 028
12, TEXT 029
13, TEXT 030
14, TEXT 031
15, TEXT 032
16, TEXT 033
17, TEXT 034
18, TEXT 035
19, TEXT 036
20, TEXT 040
21, TEXT 042
22, TEXT 043
23, TEXT 045
24, TEXT 047
25, TEXT 048
26, TEXT 049
27, TEXT 050
28, TEXT 051
29, TEXT 052
30, TEXT 053
31, TEXT 054
32, TEXT 055
33, TEXT 057
34, TEXT 058
35, TEXT 059
36, TEXT 060
37, TEXT 061
38, TEXT 062
39, TEXT 063
40, TEXT 064
41, TEXT 065
42, TEXT 066
43, TEXT 067
44, TEXT 068
45, TEXT 069
46, TEXT 070
47, TEXT 071
48, TEXT 072
49, TEXT 081
50, TEXT 082
51, TEXT 083
52, TEXT 084
53, TEXT 085
54, TEXT 086
55, TEXT 087
56, TEXT 088
57, TEXT 090
58, TEXT 091
59, TEXT 092
60, TEXT 093
61, TEXT 094
62, TEXT 095
63, TEXT 096
64, TEXT 097
65, TEXT 098
66, TEXT 099
67, TEXT 100
68, TEXT 101
69, TEXT 102
70, TEXT 104
71, TEXT 105
72, TEXT 106
73, TEXT 107
74, TEXT 108
75, TEXT 109
76, TEXT 110
77, TEXT 111
78, TEXT 112
79, TEXT 113
80, TEXT 115
81, TEXT 116
82, TEXT 117
83, TEXT 118
84, TEXT 119
85, TEXT 120
86, TEXT 121
87, TEXT 122
88, TEXT 123
89, TEXT 126
90, TEXT 128
91, TEXT 129
92, TEXT 130
93, TEXT 131
94, TEXT 133
95, TEXT 134
96, TEXT 135
97, TEXT 136
98, TEXT 137
99, TEXT 138
100, TEXT 140
101, TEXT 143
102, TEXT 144
103, TEXT 145
104, TEXT 146
105, TEXT 147
106, TEXT 148
107, TEXT 149
108, TEXT 150
109, TEXT 151
110, TEXT 152
111, TEXT 153
112, TEXT 154
113, TEXT 155
114, TEXT 156
115, TEXT 157
116, TEXT 158
117, TEXT 159
118, TEXT 160
119, TEXT 161
120, TEXT 162
121, TEXT 163
122, TEXT 170
123, TEXT 171
124, TEXT 172
125, TEXT 173
126, TEXT 174
127, TEXT 175
128, TEXT 176
129, TEXT 177
130, TEXT 178
131, TEXT 179
132, TEXT 180
133, TEXT 181
134, TEXT 182
135, TEXT 183
136, TEXT 184
137, TEXT 185
138, TEXT 186
139, TEXT 187
140, TEXT 188
141, TEXT 189
142, TEXT 190
143, TEXT 191
144, TEXT 192
145, TEXT 193
146, TEXT 194
147, TEXT 195
148, TEXT 196
149, TEXT 197
150, TEXT 198
151, TEXT 199
152, TEXT 200
153, TEXT 201
154, TEXT 202
155, TEXT 203
156, TEXT 204
157, TEXT 213
158, TEXT 214
159, TEXT 215
160, TEXT 217
161, TEXT 218
162, TEXT 219
163, TEXT 220
164, TEXT 221
165, TEXT 222
166, TEXT 223
167, TEXT 224
168, TEXT 225
169, TEXT 226
170, TEXT 227
171, TEXT 228
172, TEXT 229
173, TEXT 230
174, TEXT 231
175, TEXT 232
176, TEXT 234
177, TEXT 235
178, TEXT 236
179, TEXT 237
180, TEXT 238
181, TEXT 239
182, TEXT 240
183, TEXT 241
184, TEXT 242
185, TEXT 243
186, TEXT 244
187, TEXT 245
188, TEXT 246
189, TEXT 247
190, TEXT 248
191, TEXT 249
192, TEXT 250
193, TEXT 251
194, TEXT 252
195, TEXT 253
196, TEXT 254
197, TEXT 255
198, TEXT 256
199, TEXT 257
200, TEXT 258
201, TEXT 259
202, TEXT 260
203, TEXT 261
204, TEXT 262
205, TEXT 263
206, TEXT 264
207, TEXT 265
208, TEXT 266
209, TEXT 267
210, TEXT 268
211, TEXT 269
212, TEXT 270
213, TEXT 272
214, TEXT 273
215, TEXT 274
216, TEXT 275
217, TEXT 276
218, TEXT 277
219, TEXT 278
220, TEXT 279
221, TEXT 280
222, TEXT 281
223, TEXT 282
224, TEXT 283
225, TEXT 284
226, TEXT 285
227, TEXT 286
228, TEXT 287
229, TEXT 288
230, TEXT 289
231, TEXT 292
232, TEXT 293
233, TEXT 294
234, TEXT 295
235, TEXT 296
236, TEXT 297
237, TEXT 298
238, TEXT 299
239, TEXT 300
240, TEXT 301
241, TEXT 302
242, TEXT 303
243, TEXT 304
244, TEXT 305
245, TEXT 306
246, TEXT 307
247, TEXT 308
248, TEXT 309
249, TEXT 310
250, TEXT 311
251, TEXT 312
252, TEXT 313
253, TEXT 315
254, TEXT 317
255, TEXT 318
256, TEXT 319
257, TEXT 320
258, TEXT 321
259, TEXT 322
260, TEXT 323
261, TEXT 324
262, TEXT 326
263, TEXT 329
264, TEXT 330
265, TEXT 331
266, TEXT 332
267, TEXT 333
268, TEXT 334
269, TEXT 335
270, TEXT 336
271, TEXT 337
272, TEXT 341
273, TEXT 342
274, TEXT 345
275, TEXT 346
276, TEXT 347
277, TEXT 348
278, TEXT 350
279, TEXT 351
280, TEXT 353
281, TEXT 354
282, TEXT 355
283, TEXT 356
284, TEXT 357
285, TEXT 358
286, TEXT 359
287, TEXT 361
288, TEXT 363
289, TEXT 364
290, TEXT 365
291, TEXT 367
292, TEXT 368
293, TEXT 369
294, TEXT 370
295, TEXT 380
296, TEXT 381
297, TEXT 382
298, TEXT 383
299, TEXT 384
300, TEXT 385
301, TEXT 386
302, TEXT 388
303, TEXT 389
304, TEXT 390
305, TEXT 391
306, TEXT 392
307, TEXT 394
308, TEXT 396
309, TEXT 398
310, TEXT 399
311, TEXT 400
312, TEXT 401
313, TEXT 402
314, TEXT 403
315, TEXT 404
316, TEXT 405
317, TEXT 406
318, TEXT 407
319, TEXT 408
320, TEXT 411
321, TEXT 412
322, TEXT 413
323, TEXT 414
324, TEXT 415
325, TEXT 417
326, TEXT 418
327, TEXT 422
328, TEXT 424
329, TEXT 425
330, TEXT 426
331, TEXT 427
332, TEXT 430
333, TEXT 431
334, TEXT 434
335, TEXT 436
336, TEXT 437
337, TEXT 438
338, TEXT 442
339, TEXT 443
340, TEXT 444
341, TEXT 445
342, TEXT 446
343, TEXT 449
344, TEXT 459
345, TEXT 460
346, TEXT 461
347, TEXT 462
348, TEXT 463
349, TEXT 464
350, TEXT 470
351, TEXT 471
352, TEXT 472
353, TEXT 473
354, TEXT 475
355, TEXT 476
356, TEXT 477
357, TEXT 478
358, TEXT 479
359, TEXT 480
360, TEXT 485
361, TEXT 487
362, TEXT 490
363, TEXT 491
364, TEXT 492
365, TEXT 493
366, TEXT 494
367, TEXT 495
368, TEXT 496
369, TEXT 497
370, TEXT 498
371, TEXT 501
372, TEXT 502
373, TEXT 503
374, TEXT 504
375, TEXT 507
376, TEXT 508
377, TEXT 509
378, TEXT 511
379, TEXT 512
380, TEXT 513
381, TEXT 514
382, TEXT 516
383, TEXT 518
384, TEXT 519
385, TEXT 521
386, TEXT 522
387, TEXT 523
388, TEXT 524
389, TEXT 525
390, TEXT 526
391, TEXT 527
392, TEXT 528
393, TEXT 529
394, TEXT 530
395, TEXT 533
396, TEXT 534
397, TEXT 535
398, TEXT 536
399, TEXT 537
400, TEXT 538
401, TEXT 539
402, TEXT 540
403, TEXT 541
404, TEXT 542
405, TEXT 543
406, TEXT 544
407, TEXT 545
408, TEXT 546
409, TEXT 548
410, TEXT 549
411, TEXT 550
412, TEXT 551
413, TEXT 552
414, TEXT 553
415, TEXT 555
416, TEXT 556
417, TEXT 557
418, TEXT 558
419, TEXT 559
420, TEXT 560
421, TEXT 561
422, TEXT 562
423, TEXT 563
